Problem Size,Default (ms),Impala (ms)
409010,0,4443
410010,0,4455
411010,0,4466
412010,0,4478
413010,0,4490
414010,0,4500
415010,0,4536
416010,0,4548
417010,0,4557
418010,0,4567
419010,0,4578
420010,0,4589
421010,0,4601
422010,0,4700
423010,0,4710
424010,0,4646
425010,0,4659
426010,0,4695
427010,0,4707
428010,0,4717
429010,0,4731
430010,0,4673
431010,0,4683
432010,0,4694
433010,0,4780
434010,0,4765
435010,0,4778
436010,0,4785
437010,0,4818
438010,0,4830
439010,0,4841
440010,0,4829
441010,0,4838
442010,0,4852
443010,0,4862
444010,0,4943
445010,0,4953
446010,0,4936
447010,0,4946
448010,0,4982
449010,0,4993
450010,0,5005
451010,0,5017
452010,0,5024
453010,0,4945
454010,0,4955
455010,0,5036
456010,0,5041
457010,0,5027
458010,0,5036
459010,0,5077
460010,0,5084
461010,0,5092
462010,0,5116
463010,0,5131
464010,0,5113
465010,0,5147
466010,0,5251
467010,0,5281
468010,0,5270
469010,0,5289
470010,0,5301
471010,0,5385
472010,0,5396
473010,0,5405
474010,0,5413
475010,0,5352
476010,0,5362
477010,0,5374
478010,0,5382
479010,0,5367
480010,0,5400
481010,0,5412
482010,0,5418
483010,0,5429
484010,0,5437
485010,0,5460
486010,0,5406
487010,0,5426
488010,0,5443
489010,0,5464
490010,0,5448
491010,0,5468
492010,0,5490
493010,0,5495
494010,0,5512
495010,0,5469
496010,0,5456
497010,0,5327
498010,0,5314
499010,0,5329
500010,0,5329
