Problem Size,Default (ms),Impala (ms)
89600,0,1224
89800,0,1215
90000,0,1208
90200,0,1207
90400,0,1204
90600,0,1204
90800,0,1191
91000,0,1184
91200,0,1187
91400,0,1183
91600,0,1189
91800,0,1192
92000,0,1191
92200,0,1200
92400,0,1215
92600,0,1226
92800,0,1227
93000,0,1225
93200,0,1222
93400,0,1224
93600,0,1220
93800,0,1218
94000,0,1213
94200,0,1207
94400,0,1216
94600,0,1215
94800,0,1221
95000,0,1237
95200,0,1237
95400,0,1241
95600,0,1245
95800,0,1235
96000,0,1235
96200,0,1237
96400,0,1245
96600,0,1251
96800,0,1274
97000,0,1271
97200,0,1275
97400,0,1279
97600,0,1284
97800,0,1287
98000,0,1291
98200,0,1297
98400,0,1288
98600,0,1271
98800,0,1265
99000,0,1271
99200,0,1277
99400,0,1267
99600,0,1274
99800,0,1283
100000,0,1288
