Problem Size,Default (ms),Impala (ms)
9320,2453,1603
9370,2464,1609
9390,2466,1610
9400,2479,1619
9410,2466,1612
9440,2478,1622
9490,2476,1620
9510,2469,1617
9520,2482,1627
9530,2496,1637
9550,2498,1637
9560,2500,1640
9590,2500,1640
9600,2505,1645
9630,2503,1645
9680,2513,1651
9690,2518,1654
9710,2513,1650
9750,2519,1654
9780,2530,1663
9790,2538,1667
9800,2540,1668
9830,2542,1671
9840,2547,1676
9870,2546,1675
9880,2552,1676
9900,2543,1668
9920,2539,1667
9930,2551,1674
9950,2566,1686
9960,2569,1687
9970,2564,1686
9980,2555,1685
9990,2561,1688
10000,2567,1691
10010,2585,1703
10030,2592,1707
10040,2594,1712
10050,2596,1713
10060,2592,1709
10080,2587,1704
10090,2591,1707
10100,2584,1700
10120,2592,1705
10180,2608,1716
10210,2608,1718
10230,2615,1722
10240,2618,1724
10250,2606,1723
10260,2610,1727
10290,2631,1735
10300,2644,1744
10310,2650,1749
10330,2646,1748
10340,2636,1742
10360,2642,1749
10400,2665,1765
10410,2682,1776
10440,2681,1775
10450,2675,1773
10460,2670,1771
10540,2661,1767
10560,2655,1765
10570,2654,1764
10590,2661,1767
10600,2665,1768
10610,2674,1773
10640,2668,1771
10650,2674,1776
10670,2680,1783
10690,2673,1778
10700,2672,1778
10720,2670,1776
10750,2675,1779
10760,2684,1786
10790,2693,1792
10810,2686,1789
10820,2691,1793
10910,2706,1803
10930,2704,1800
10940,2709,1806
10960,2713,1808
10980,2706,1804
10990,2715,1807
11010,2712,1803
11020,2722,1810
11030,2735,1824
11040,2738,1826
11070,2749,1834
11080,2735,1824
11090,2744,1829
11110,2748,1832
11120,2749,1833
11130,2738,1824
11140,2746,1829
11190,2749,1826
11200,2739,1822
11210,2746,1827
11230,2763,1836
11260,2767,1839
11270,2750,1827
11280,2753,1826
11290,2740,1816
11300,2750,1822
11310,2758,1825
11370,2761,1829
11380,2753,1824
11390,2765,1833
11420,2772,1836
11440,2769,1834
11450,2759,1828
11500,2763,1831
11550,2825,1860
11560,2828,1860
11570,2830,1863
11580,2840,1867
11600,2826,1857
11610,2834,1863
11640,2827,1859
11660,2852,1877
11670,2856,1882
11730,2868,1890
11740,2874,1893
11750,2889,1905
11760,2881,1899
11810,2877,1898
11830,2895,1910
11840,2904,1914
11870,2916,1922
11900,2937,1936
11910,2951,1944
11950,2943,1946
11970,2939,1941
11980,2930,1932
11990,2938,1940
12000,2944,1945
12030,2933,1937
12080,2920,1928
12100,2921,1932
12120,2932,1936
12170,2940,1942
12180,2950,1947
12200,2957,1951
12240,2956,1949
12270,2966,1955
12290,2975,1961
12310,3011,2043
12350,3007,2038
12410,3010,2043
12430,3001,2037
12460,3007,2040
12480,3015,2045
12490,3024,2049
12500,3033,2056
12510,3037,2059
12530,3042,2062
12570,3046,2065
12610,3054,2070
12640,3061,2074
12650,3057,2071
12670,3069,2080
12690,3063,2074
12730,3068,2075
12740,3080,2079
12760,3103,2096
12780,3110,2100
12800,3124,2109
12860,3121,2098
12880,3140,2112
12890,3137,2110
12920,3144,2114
12940,3134,2108
13020,3148,2121
13030,3153,2123
13090,3168,2131
13110,3164,2128
13140,3168,2133
13160,3172,2136
13170,3171,2135
13200,3166,2136
13220,3161,2137
13230,3173,2146
13270,3180,2154
13290,3197,2168
13340,3197,2166
13420,3198,2166
13430,3207,2173
13440,3210,2173
13480,3223,2177
13540,3237,2180
13570,3251,2187
13620,3266,2196
13640,3270,2196
13720,3218,2172
13740,3218,2174
13750,3226,2176
13840,3221,2174
13860,3223,2174
13880,3225,2174
13950,3242,2184
13980,3243,2181
13990,3256,2187
14000,3260,2188
14030,3276,2200
14040,3267,2194
14060,3277,2201
14110,3272,2192
14120,3270,2191
14140,3276,2197
14160,3277,2198
14180,3283,2202
14210,3273,2198
14260,3272,2195
14280,3286,2211
14480,3297,2221
14510,3301,2219
14550,3313,2230
14560,3327,2238
14570,3325,2236
14620,3323,2232
14650,3327,2236
14670,3334,2241
14700,3331,2241
14720,3340,2245
14780,3362,2257
14820,3368,2260
14830,3369,2263
14890,3359,2196
14920,3368,2204
15000,3376,2206
15010,3391,2216
15100,3392,2216
15120,3401,2221
15170,3401,2224
15220,3416,2229
15240,3426,2236
15260,3438,2244
15300,3443,2246
15310,3448,2248
15320,3457,2253
15350,3462,2254
15490,3480,2263
15580,3493,2272
15590,3525,2292
15650,3538,2301
15680,3531,2299
15700,3539,2303
15750,3586,2314
15850,3586,2316
15880,3591,2317
15900,3610,2331
15930,3620,2343
15990,3640,2353
16300,3641,2349
16320,3653,2357
16330,3656,2374
16340,3665,2379
16350,3677,2391
16420,3691,2397
16490,3695,2402
16510,3702,2402
16560,3705,2399
16620,3716,2405
16640,3726,2410
16650,3748,2424
16700,3755,2427
16730,3768,2437
16780,3778,2440
16860,3797,2451
16920,3791,2451
17080,3789,2455
17100,3791,2459
17240,3789,2456
17260,3806,2466
17320,3815,2471
17340,3828,2480
17360,3846,2492
17390,3854,2497
17400,3877,2513
17450,3890,2523
17480,3890,2524
17490,3894,2530
17500,3894,2529
17520,3905,2537
17530,3908,2538
17890,3917,2544
17960,3922,2547
18140,3939,2560
18200,3951,2567
18390,3971,2580
18420,3981,2586
18470,3982,2585
18530,3994,2595
18560,4010,2605
18610,4015,2603
18620,4017,2602
18630,4039,2612
18730,4044,2610
18740,4053,2617
18750,4064,2627
18840,4075,2636
18880,4074,2634
18950,4089,2640
18990,4101,2653
19130,4113,2664
19290,4114,2669
19320,4125,2683
19330,4143,2694
19360,4145,2696
19390,4150,2701
19420,4160,2708
19470,4171,2716
19540,4189,2725
19640,4202,2733
19650,4249,2756
19690,4247,2758
19780,4254,2763
19800,4261,2767
19870,4274,2775
20040,4292,2784
20090,4301,2790
20130,4320,2808
20150,4313,2806
20210,4327,2815
20240,4319,2811
20300,4335,2821
20320,4339,2821
20390,4359,2832
20490,4310,2823
20530,4327,2838
20560,4337,2847
20580,4346,2854
20600,4365,2853
20610,4365,2853
20620,4378,2864
20690,4387,2870
20750,4402,2868
21070,4421,2881
21080,4437,2888
21190,4470,2908
21210,4501,2924
21220,4515,2934
21330,4534,2945
21460,4555,2960
21540,4586,2980
21570,4598,2987
21590,4618,2999
21640,4668,3021
21750,4685,3033
21820,4699,3048
21880,4716,3055
21890,4751,3074
22030,4803,3101
22120,4838,3119
22140,4845,3126
22200,4858,3137
22340,4873,3146
22390,4876,3148
22510,4893,3158
22560,4898,3162
22980,4903,3164
23140,4912,3169
23180,4919,3171
23370,4937,3184
23550,4946,3189
23580,4958,3196
24030,4980,3210
24100,4997,3222
24230,5008,3229
24320,5016,3234
24350,5007,3227
24510,5020,3234
24800,5036,3242
25070,5051,3248
25170,5056,3250
25240,5072,3257
25510,5100,3276
25870,5098,3281
26060,5114,3293
26470,5130,3302
26510,5149,3309
26640,5165,3317
26770,5191,3335
26900,5202,3345
27120,5226,3350
27350,5240,3354
27560,5256,3360
27920,5271,3358
28120,5272,3354
28130,5289,3364
28520,5318,3378
28730,5343,3393
29470,5354,3396
31830,5369,3406
