Problem Size,Default (ms),Impala (ms)
0,64,0
20,65,0
40,64,0
60,63,10
80,62,0
100,62,8
120,62,10
140,62,0
160,61,0
180,61,0
200,61,12
220,61,10
240,61,0
260,62,20
280,62,0
300,63,2
320,66,0
340,70,0
360,75,10
380,78,0
400,81,5
420,84,0
440,88,10
460,92,10
480,96,10
500,96,8
520,97,10
540,97,0
560,98,10
580,98,10
600,98,10
620,100,10
640,101,10
660,105,10
680,109,10
700,113,10
720,116,10
740,120,10
760,125,10
780,130,10
800,134,10
820,135,10
840,139,10
860,142,10
880,144,10
900,147,10
920,152,10
940,155,10
960,157,10
980,159,10
1000,160,10
1020,165,10
1040,170,10
1060,173,10
1080,173,10
1100,174,10
1120,176,10
1140,180,10
1160,186,10
1180,191,10
1200,195,10
1220,201,10
1240,206,10
1260,211,10
1280,220,10
1300,224,10
1320,226,10
1340,228,10
1360,231,10
1380,233,10
1400,237,10
1420,242,10
1440,248,10
1460,253,10
1480,260,10
1500,268,10
1520,272,10
1540,273,10
1560,275,10
1580,277,10
1600,282,10
1620,286,10
1640,292,10
1660,295,10
1680,299,10
1700,306,12
1720,308,10
1740,311,10
1760,314,10
1780,316,10
1800,319,10
1820,325,20
1840,329,10
1860,335,10
1880,333,10
1900,330,10
1920,331,10
1940,335,20
1960,339,20
1980,348,10
2000,355,10
2020,361,10
2040,362,10
2060,362,10
2080,362,10
2100,361,10
2120,362,10
2140,370,10
2160,379,10
2180,388,10
2200,392,10
2220,391,10
2240,392,20
2260,392,10
2280,395,20
2300,398,15
2320,404,20
2340,405,10
2360,407,10
2380,409,10
2400,413,12
2420,418,20
2440,425,20
2460,432,20
2480,428,10
2500,436,15
2520,438,10
2540,443,10
2560,452,20
2580,461,20
2600,463,20
2620,460,20
2640,456,20
2660,459,20
2680,465,20
2700,472,18
2720,484,10
2740,482,20
2760,478,20
2780,475,20
2800,474,20
2820,485,20
2840,499,20
2860,507,20
2880,506,20
2900,505,20
2920,506,20
2940,506,20
2960,518,20
2980,530,20
3000,535,20
3020,535,20
3040,539,20
3060,538,20
3080,540,20
3100,547,20
3120,545,20
3140,549,20
3160,554,20
3180,556,20
3200,559,20
3220,552,20
3240,558,20
3260,564,20
3280,577,20
3300,581,20
3320,578,20
3340,571,20
3360,578,20
3380,585,20
3400,589,20
3420,604,20
3440,597,20
3460,591,20
3480,592,20
3500,602,20
3520,616,20
3540,614,20
3560,613,20
3580,613,20
3600,614,20
3620,625,20
3640,625,20
3660,623,20
3680,623,20
3700,624,20
3720,636,20
3740,637,20
3760,638,20
3780,641,20
3800,648,20
3820,660,20
3840,663,20
3860,665,20
3880,670,20
3900,668,20
3920,682,20
3940,686,20
3960,693,20
3980,702,20
4000,703,20
4020,701,20
4040,691,20
4060,699,20
4080,707,20
4100,712,20
4120,705,20
4140,698,20
4160,707,20
4180,717,20
4200,720,22
4220,716,20
4240,714,20
4260,732,20
4280,755,20
4300,762,22
4320,764,20
4340,764,20
4360,782,20
4380,782,20
4400,786,22
4420,787,20
4440,786,20
4460,789,30
4480,793,20
4500,795,30
4520,806,20
4540,792,30
4560,797,20
4580,802,20
4600,803,22
4620,800,30
4640,807,20
4660,814,30
4680,823,30
4700,826,28
4720,826,20
4740,837,30
4760,852,30
4780,848,20
4800,848,28
4820,854,20
4840,872,20
4860,868,30
4880,859,30
4900,846,30
4920,862,30
4940,857,30
4960,853,30
4980,855,20
5000,872,30
5020,868,30
5040,863,30
5060,861,30
5080,882,30
5100,889,30
5120,895,30
5140,896,30
5160,899,30
5180,908,30
5200,922,28
5220,946,30
5240,948,30
5260,954,30
5280,959,30
5300,954,30
5320,949,30
5340,959,30
5360,969,30
5380,957,30
5400,969,30
5420,985,30
5440,1001,30
5460,986,30
5480,1002,30
5500,1013,30
5520,1009,30
5540,995,30
5560,1018,30
5580,1042,30
5600,1035,30
5620,1038,30
5640,1059,30
5660,1057,30
5680,1057,30
5700,1049,30
5720,1042,30
5740,1041,30
5760,1043,30
5780,1073,30
5800,1078,30
5820,1068,30
5840,1057,30
5860,1059,30
5880,1062,30
5900,1073,30
5920,1072,30
5940,1080,30
5960,1084,30
5980,1099,30
6000,1110,30
6020,1119,30
6040,1125,30
6060,1105,30
6080,1114,40
6100,1112,30
6120,1103,30
6140,1114,30
6160,1133,30
6180,1116,30
6200,1102,30
6220,1119,30
6240,1108,30
6260,1101,30
6280,1125,30
6300,1132,32
6320,1138,40
6340,1158,30
6360,1154,30
6380,1154,30
6400,1137,32
6420,1154,30
6440,1152,30
6460,1155,30
6480,1180,30
6500,1187,30
6520,1194,30
6540,1237,40
6560,1235,30
6580,1241,30
6600,1233,32
6620,1230,40
6640,1242,30
6660,1220,30
6680,1231,40
6700,1234,32
6720,1233,30
6740,1251,40
6760,1270,40
6780,1252,30
6800,1267,30
6820,1280,40
6840,1263,30
6860,1276,30
6880,1292,30
6900,1286,35
6920,1285,30
6940,1300,40
6960,1287,40
6980,1304,30
7000,1307,35
7020,1302,40
7040,1290,30
7060,1322,30
7080,1310,40
7100,1308,38
7120,1301,40
7140,1295,40
7160,1279,40
7180,1283,40
7200,1284,35
7220,1298,30
7240,1299,40
7260,1288,40
7280,1323,40
7300,1321,38
7320,1336,40
7340,1336,40
7360,1334,40
7380,1338,30
7400,1352,38
7420,1353,40
